iter	Passed	Remaining
0	5	5507
1	9	4587
2	12	4260
3	16	4101
4	21	4231
5	26	4335
6	29	4199
7	33	4122
8	41	4543
9	45	4458
10	48	4384
11	53	4423
12	57	4330
13	61	4313
14	65	4282
15	71	4397
16	75	4351
17	78	4292
18	82	4257
19	88	4335
20	91	4288
21	95	4246
22	101	4305
23	105	4275
24	108	4250
25	112	4230
26	120	4325
27	124	4324
28	129	4346
29	136	4416
30	141	4433
31	145	4394
32	153	4488
33	157	4462
34	161	4440
35	170	4566
36	173	4526
37	177	4488
38	185	4572
39	188	4533
40	192	4496
41	196	4489
42	201	4486
43	205	4457
44	208	4428
45	214	4458
46	218	4436
47	222	4411
48	226	4387
49	233	4434
50	236	4409
51	240	4386
52	250	4477
53	254	4453
54	257	4429
55	265	4469
56	269	4455
57	272	4431
58	278	4446
59	283	4435
60	286	4411
61	290	4389
62	296	4403
63	299	4381
64	303	4358
65	310	4394
66	316	4405
67	319	4383
68	325	4385
69	330	4392
70	334	4375
71	338	4360
72	345	4381
73	348	4364
74	352	4347
75	363	4414
76	366	4396
77	378	4472
78	382	4454
79	393	4521
80	398	4521
81	411	4603
82	415	4589
83	426	4649
84	431	4640
85	438	4663
86	446	4685
87	454	4713
88	475	4869
89	482	4880
90	495	4948
91	510	5037
92	525	5129
93	530	5113
94	545	5198
95	559	5269
96	564	5251
97	579	5335
98	594	5409
99	603	5427
100	610	5432
101	618	5441
102	625	5449
103	629	5426
104	639	5452
105	643	5427
106	651	5433
107	656	5420
108	659	5392
109	669	5414
110	672	5387
111	676	5362
112	684	5374
113	688	5351
114	692	5327
115	699	5332
116	703	5308
117	706	5283
118	710	5261
119	716	5254
120	720	5235
121	724	5217
122	732	5219
123	735	5196
124	739	5173
125	744	5163
126	748	5147
127	752	5128
128	756	5109
129	763	5112
130	767	5091
131	771	5072
132	775	5057
133	781	5048
134	785	5031
135	788	5010
136	795	5008
137	799	4994
138	803	4975
139	808	4966
140	813	4955
141	816	4935
142	820	4919
143	827	4917
144	831	4900
145	834	4882
146	838	4867
147	844	4859
148	847	4842
149	851	4824
150	855	4812
151	861	4804
152	864	4788
153	868	4772
154	875	4772
155	884	4782
156	894	4801
157	898	4786
158	901	4769
159	910	4781
160	918	4784
161	929	4806
162	932	4790
163	944	4812
164	949	4804
165	963	4841
166	970	4840
167	979	4850
168	993	4886
169	998	4873
170	1009	4896
171	1015	4890
172	1023	4893
173	1027	4879
174	1039	4900
175	1043	4883
176	1053	4897
177	1057	4882
178	1063	4876
179	1068	4868
180	1072	4853
181	1078	4847
182	1083	4836
183	1086	4820
184	1090	4804
185	1099	4810
186	1103	4798
187	1109	4794
188	1115	4786
189	1119	4771
190	1123	4756
191	1130	4756
192	1134	4743
193	1138	4729
194	1146	4731
195	1149	4715
196	1153	4700
197	1159	4697
198	1163	4683
199	1167	4670
200	1170	4654
201	1177	4651
202	1181	4637
203	1184	4622
204	1189	4613
205	1194	4605
206	1198	4590
207	1202	4577
208	1208	4574
209	1212	4560
210	1216	4548
211	1221	4540
212	1226	4530
