Age_group,Attrition,BusinessTravel,DailyRate,Department,Distance_group,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31-45,1,Travel_Rarely,1102,Sales,Near-by,College,Life Sciences,Dissatisfied,Female,94,Satisfied,Junior or Associate,Sales Executive,Very satisfied,Single,5993,19479,8,Y,Yes,11,Low,Very dissatisfied,80,Level 1,1-10,0,Bad,1-10,4,0,5
46-60,0,Travel_Frequently,279,Research & Development,Near-by,Technical Training,Life Sciences,Satisfied,Male,61,Dissatisfied,Junior or Associate,Research Scientist,Dissatisfied,Married,5130,24907,1,Y,No,23,High,Very satisfied,80,Level 2,11-20,3,Good,11-20,7,1,7
31-45,1,Travel_Rarely,1373,Research & Development,Near-by,College,Other,Very satisfied,Male,92,Dissatisfied,Entry level,Laboratory Technician,Satisfied,Single,2090,2396,6,Y,Yes,15,Low,Dissatisfied,80,Level 1,1-10,3,Good,1-10,0,0,0
31-45,0,Travel_Frequently,1392,Research & Development,Near-by,Masters degree,Life Sciences,Very satisfied,Female,56,Satisfied,Entry level,Research Scientist,Satisfied,Married,2909,23159,1,Y,Yes,11,Low,Satisfied,80,Level 1,1-10,3,Good,1-10,7,3,0
18-30,0,Travel_Rarely,591,Research & Development,Near-by,Technical Training,Medical,Very dissatisfied,Male,40,Satisfied,Entry level,Laboratory Technician,Dissatisfied,Married,3468,16632,9,Y,No,12,Low,Very satisfied,80,Level 2,1-10,3,Good,1-10,2,2,2
31-45,0,Travel_Frequently,1005,Research & Development,Near-by,College,Life Sciences,Very satisfied,Male,79,Satisfied,Entry level,Laboratory Technician,Very satisfied,Single,3068,11864,0,Y,No,13,Low,Satisfied,80,Level 1,1-10,2,Average,1-10,7,3,6
46-60,0,Travel_Rarely,1324,Research & Development,Near-by,Bachelors degree,Medical,Satisfied,Female,81,Very satisfied,Entry level,Laboratory Technician,Very dissatisfied,Married,2670,9964,4,Y,Yes,20,High,Very dissatisfied,80,Level 4,11-20,3,Average,1-10,0,0,0
18-30,0,Travel_Rarely,1358,Research & Development,Very far,Technical Training,Life Sciences,Very satisfied,Male,67,Satisfied,Entry level,Laboratory Technician,Satisfied,Divorced,2693,13335,1,Y,No,22,High,Dissatisfied,80,Level 2,1-10,2,Good,1-10,0,0,0
31-45,0,Travel_Frequently,216,Research & Development,Very far,Bachelors degree,Life Sciences,Very satisfied,Male,44,Dissatisfied,Mid level Specialist,Manufacturing Director,Satisfied,Single,9526,8787,0,Y,No,21,High,Dissatisfied,80,Level 1,11-20,2,Good,1-10,7,1,8
31-45,0,Travel_Rarely,1299,Research & Development,Very far,Bachelors degree,Medical,Satisfied,Male,94,Satisfied,Junior or Associate,Healthcare Representative,Satisfied,Married,5237,16577,6,Y,No,13,Low,Dissatisfied,80,Level 3,11-20,3,Average,1-10,7,7,7
31-45,0,Travel_Rarely,809,Research & Development,Far,Bachelors degree,Medical,Very dissatisfied,Male,84,Very satisfied,Entry level,Laboratory Technician,Dissatisfied,Married,2426,16479,0,Y,No,13,Low,Satisfied,80,Level 2,1-10,5,Good,1-10,4,0,3
18-30,0,Travel_Rarely,153,Research & Development,Far,College,Life Sciences,Very satisfied,Female,49,Dissatisfied,Junior or Associate,Laboratory Technician,Satisfied,Single,4193,12682,0,Y,Yes,12,Low,Very satisfied,80,Level 1,11-20,3,Good,1-10,5,0,8
31-45,0,Travel_Rarely,670,Research & Development,Very far,Technical Training,Life Sciences,Very dissatisfied,Male,31,Satisfied,Entry level,Research Scientist,Satisfied,Divorced,2911,15170,1,Y,No,17,Low,Very satisfied,80,Level 2,1-10,1,Average,1-10,2,4,3
31-45,0,Travel_Rarely,1346,Research & Development,Far,College,Medical,Dissatisfied,Male,93,Satisfied,Entry level,Laboratory Technician,Very satisfied,Divorced,2661,8758,0,Y,No,11,Low,Satisfied,80,Level 2,1-10,2,Good,1-10,2,1,2
18-30,1,Travel_Rarely,103,Research & Development,Very far,Bachelors degree,Life Sciences,Satisfied,Male,50,Dissatisfied,Entry level,Laboratory Technician,Satisfied,Single,2028,12947,5,Y,Yes,14,Low,Dissatisfied,80,Level 1,1-10,4,Good,1-10,2,0,3
18-30,0,Travel_Rarely,1389,Research & Development,Very far,Masters degree,Life Sciences,Dissatisfied,Female,51,Very satisfied,Mid level Specialist,Manufacturing Director,Very dissatisfied,Divorced,9980,10195,1,Y,No,11,Low,Satisfied,80,Level 2,11-20,1,Good,11-20,9,8,8
31-45,0,Travel_Rarely,334,Research & Development,Near-by,College,Life Sciences,Very dissatisfied,Male,80,Very satisfied,Entry level,Research Scientist,Dissatisfied,Divorced,3298,15053,0,Y,Yes,12,Low,Very satisfied,80,Level 3,1-10,5,Average,1-10,2,0,5
18-30,0,Non-Travel,1123,Research & Development,Far,College,Medical,Very satisfied,Male,96,Very satisfied,Entry level,Laboratory Technician,Very satisfied,Divorced,2935,7324,1,Y,Yes,13,Low,Dissatisfied,80,Level 3,1-10,2,Average,1-10,0,0,0
46-60,0,Travel_Rarely,1219,Sales,Near-by,Masters degree,Life Sciences,Very dissatisfied,Female,78,Dissatisfied,Senior,Manager,Very satisfied,Married,15427,22021,2,Y,No,16,Low,Satisfied,80,Level 1,31-40,3,Good,21-30,8,3,7
31-45,0,Travel_Rarely,371,Research & Development,Near-by,Bachelors degree,Life Sciences,Very satisfied,Male,45,Satisfied,Entry level,Research Scientist,Very satisfied,Single,3944,4306,5,Y,Yes,11,Low,Satisfied,80,Level 1,1-10,3,Good,1-10,2,1,2
18-30,0,Non-Travel,673,Research & Development,Far,College,Other,Very dissatisfied,Female,96,Very satisfied,Junior or Associate,Manufacturing Director,Satisfied,Divorced,4011,8232,0,Y,No,18,Low,Very satisfied,80,Level 2,1-10,5,Average,1-10,2,1,3
31-45,1,Travel_Rarely,1218,Sales,Near-by,Masters degree,Life Sciences,Satisfied,Male,82,Dissatisfied,Entry level,Sales Representative,Very dissatisfied,Single,3407,6986,7,Y,No,23,High,Dissatisfied,80,Level 1,11-20,4,Good,1-10,3,0,3
31-45,0,Travel_Rarely,419,Research & Development,Near-by,Masters degree,Life Sciences,Very dissatisfied,Female,53,Satisfied,Mid level Specialist,Research Director,Dissatisfied,Single,11994,21293,0,Y,No,11,Low,Satisfied,80,Level 1,11-20,4,Good,11-20,6,2,11
18-30,0,Travel_Rarely,391,Research & Development,Far,College,Life Sciences,Satisfied,Male,96,Satisfied,Entry level,Research Scientist,Very satisfied,Single,1232,19281,1,Y,No,14,Low,Very satisfied,80,Level 1,1-10,6,Good,1-10,0,0,0
31-45,1,Travel_Rarely,699,Research & Development,Near-by,Technical Training,Medical,Dissatisfied,Male,83,Satisfied,Entry level,Research Scientist,Very dissatisfied,Single,2960,17102,2,Y,No,11,Low,Satisfied,80,Level 1,1-10,2,Good,1-10,2,1,3
